
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:D7:AA:DD:39:49, 2023-06-29 16:55:39, 2023-06-29 16:58:33, 10, 260, WPA2, CCMP, PSK, -64,     1599,     8695,   0.  0.  0.  0,  12, TMOBILE-3947, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B4:B7:42:F2:E3:FC, 2023-06-29 16:55:40, 2023-06-29 16:58:33, -55,      163, C0:D7:AA:DD:39:49,
B4:7C:9C:DD:B7:CB, 2023-06-29 16:55:41, 2023-06-29 16:58:33, -75,      307, C0:D7:AA:DD:39:49,
E6:18:E5:68:CF:27, 2023-06-29 16:55:43, 2023-06-29 16:58:29, -19,     5431, C0:D7:AA:DD:39:49,
B4:FB:E3:DB:1D:6F, 2023-06-29 16:55:43, 2023-06-29 16:58:26, -91,       86, C0:D7:AA:DD:39:49,
44:01:BB:1E:CC:51, 2023-06-29 16:55:44, 2023-06-29 16:58:29, -91,       39, C0:D7:AA:DD:39:49,
C8:89:F3:AD:DB:9D, 2023-06-29 16:55:45, 2023-06-29 16:58:30, -28,     8320, C0:D7:AA:DD:39:49,
B4:B7:42:4A:B9:BD, 2023-06-29 16:55:51, 2023-06-29 16:58:26, -80,      103, C0:D7:AA:DD:39:49,
22:EF:9F:6D:B0:A2, 2023-06-29 16:55:56, 2023-06-29 16:58:29,  -1,     5276, C0:D7:AA:DD:39:49,
C4:9D:ED:1A:DF:A9, 2023-06-29 16:55:56, 2023-06-29 16:58:32, -72,      224, C0:D7:AA:DD:39:49,
FC:01:7C:4A:AB:F6, 2023-06-29 16:55:56, 2023-06-29 16:58:29,  -1,      139, C0:D7:AA:DD:39:49,

